Name,Arguments,Type,Return
file.changeName:after,"Kirby\Cms\File $newFile, Kirby\Cms\File $oldFile",trigger,
file.changeName:before,"Kirby\Cms\File $file, string $name",trigger,
file.changeSort:after,"Kirby\Cms\File $newFile, Kirby\Cms\File $oldFile",trigger,
file.changeSort:before,"Kirby\Cms\File $file, int $position",trigger,
file.create:after,Kirby\Cms\File $file,trigger,
file.create:before,"Kirby\Cms\File $file, Kirby\Filesystem\File $upload",trigger,
file.delete:after,"bool $status, Kirby\Cms\File $file",trigger,
file.delete:before,Kirby\Cms\File $file,trigger,
file.replace:after,"Kirby\Cms\File $newFile, Kirby\Cms\File $oldFile",trigger,
file.replace:before,"Kirby\Cms\File $file, Kirby\Filesystem\File $upload",trigger,
file.update:after,"Kirby\Cms\File $newFile, Kirby\Cms\File $oldFile",trigger,
file.update:before,"Kirby\Cms\File $file, array $values, array $strings",trigger,
kirbytags:after,"string $text, array $data, array $options",apply,$text
kirbytags:before,"string $text, array $data, array $options",apply,$text
kirbytext:after,"string $text",apply,$text
kirbytext:before,"string $text",apply,$text
language.create:after,"array $input, Kirby\Cms\Language $language",trigger,
language.create:before,"array $input, Kirby\Cms\Language $language",trigger,
language.delete:after,"Kirby\Cms\Language $language",trigger,
language.delete:before,"Kirby\Cms\Language $language",trigger,
language.update:after,"Kirby\Cms\Language $newLanguage, Kirby\Cms\Language $oldLanguage, array $input",trigger,
language.update:before,"Kirby\Cms\Language $language, array $input",trigger,
page.changeNum:after,"Kirby\Cms\Page $newPage, Kirby\Cms\Page $oldPage",trigger,
page.changeNum:before,"Kirby\Cms\Page $page, int $num",trigger,
page.changeSlug:after,"Kirby\Cms\Page $newPage, Kirby\Cms\Page $oldPage",trigger,
page.changeSlug:before,"Kirby\Cms\Page $page, string $slug, ?string $languageCode = null",trigger,
page.changeStatus:after,"Kirby\Cms\Page $newPage, Kirby\Cms\Page $oldPage",trigger,
page.changeStatus:before,"Kirby\Cms\Page $page, string $status, ?int $position = null",trigger,
page.changeTemplate:after,"Kirby\Cms\Page $newPage, Kirby\Cms\Page $oldPage",trigger,
page.changeTemplate:before,"Kirby\Cms\Page $page, string $template",trigger,
page.changeTitle:after,"Kirby\Cms\Page $newPage, Kirby\Cms\Page $oldPage",trigger,
page.changeTitle:before,"Kirby\Cms\Page $page, string $title, ?string $languageCode = null",trigger,
page.create:after,"Kirby\Cms\Page $page",trigger,
page.create:before,"Kirby\Cms\Page $page, array $input",trigger,
page.delete:after,"bool $status, Kirby\Cms\Page $page",trigger,
page.delete:before,"Kirby\Cms\Page $page, bool $force",trigger,
page.duplicate:after,"Kirby\Cms\Page $duplicatePage, Kirby\Cms\Page $originalPage",trigger,
page.duplicate:before,"Kirby\Cms\Page $originalPage, array $input, array $options",trigger,
page.render:after,"string $contentType, array $data, string $html, Kirby\Cms\Page $page",apply,$html
page.render:before,"string $contentType, array $data, Kirby\Cms\Page $page",apply,$data
page.update:after,"Kirby\Cms\Page $newPage, Kirby\Cms\Page $oldPage",trigger,
page.update:before,"Kirby\Cms\Page $page, array $values, array $strings",trigger,
route:after,"Kirby\Http\Route $route, string $path, string $method, mixed $result, bool $final",apply,$result
route:before,"Kirby\Http\Route $route, string $path, string $method",trigger,
site.changeTitle:after,"Kirby\Cms\Site $newSite, Kirby\Cms\Site $oldSite",trigger,
site.changeTitle:before,"Kirby\Cms\Site $site, string $title, ?string $languageCode = null",trigger,
site.update:after,"Kirby\Cms\Site $newSite, Kirby\Cms\Site $oldSite",trigger,
site.update:before,"Kirby\Cms\Site $site, array $values, array $strings",trigger,
system.exception,"\Throwable $exception",trigger,
system.loadPlugins:after,"",trigger,
user.changeEmail:after,"Kirby\Cms\User $newUser, Kirby\Cms\User $oldUser",trigger,
user.changeEmail:before,"Kirby\Cms\User $user, string $email",trigger,
user.changeLanguage:after,"Kirby\Cms\User $newUser, Kirby\Cms\User $oldUser",trigger,
user.changeLanguage:before,"Kirby\Cms\User $user, string $language",trigger,
user.changeName:after,"Kirby\Cms\User $newUser, Kirby\Cms\User $oldUser",trigger,
user.changeName:before,"Kirby\Cms\User $user, string $name",trigger,
user.changePassword:after,"Kirby\Cms\User $newUser, Kirby\Cms\User $oldUser",trigger,
user.changePassword:before,"Kirby\Cms\User $user, string $password",trigger,
user.changeRole:after,"Kirby\Cms\User $newUser, Kirby\Cms\User $oldUser",trigger,
user.changeRole:before,"Kirby\Cms\User $user, string $role",trigger,
user.create:after,"Kirby\Cms\User $user",trigger,
user.create:before,"Kirby\Cms\User $user, array $input",trigger,
user.delete:after,"bool $status, Kirby\Cms\User $user",trigger,
user.delete:before,"Kirby\Cms\User $user",trigger,
user.login:after,"Kirby\Cms\User $user, Kirby\Session\Session $session",trigger,
user.login:before,"Kirby\Cms\User $user, Kirby\Session\Session $session",trigger,
user.logout:after,"Kirby\Cms\User $user, Kirby\Session\Session $session",trigger,
user.logout:before,"Kirby\Cms\User $user, Kirby\Session\Session $session",trigger,
user.update:after,"Kirby\Cms\User $newUser, Kirby\Cms\User $oldUser",trigger,
user.update:before,"Kirby\Cms\User $user, array $values, array $strings",trigger,
